Hypernym	Hyponym
 תֵּל 	 !תֵּל 
 מִגְדָּל 	 מִגְדָּלוֹר 
 מִגְדָּל 	 מִגְדַּל-תַּצְפִּית 
 דֶּרֶךְ 	 כְּנִיסָה פֶּתַח 
 !דֶּרֶךְ 	 קִצּוּר-דֶּרֶךְ 
 סִימָן-טוֹב 	 קָמֵעַ 
 בַּיִת 	 קַשָּׁת מַזַּל-קַשָּׁת 
 בַּיִת 	 מַזַּל-גְּדִי 
 !אֵזוֹר 	 מֶרְכָּז לֵב 
 !אֵזוֹר 	 !תִּקּוּן 
 !אֵזוֹר 	 מַעֲגָן 
 מָחוֹז 	 !הִתְפַּתְּחוּת 
 מָחוֹז 	 מֻבְלַעַת 
 !תְּחוּם 	 נְסִיכוּת 
 קֶמַח 	 סֹלֶת 
 בָּשָׂר 	 !נֶתַח 
 אֲרוּחָה 	 אֲרוּחָה-קַלָּה נִשְׁנוּשׁ 
 מִסְפּוֹא 	 חָצִיר שַׁחַת 
 כְּלִי בֶּגֶד 	 חִתּוּל 
 כְּלִי בֶּגֶד 	 שִׂמְלָה 
 כְּלִי בֶּגֶד 	 פַּרְוָה 
 כְּלִי בֶּגֶד 	 גִּהוּץ 
 כְּלִי בֶּגֶד 	 כְּבָסִים כְּבִיסָה 
 כְּלִי בֶּגֶד 	 צָעִיף 
 כְּלִי בֶּגֶד 	 חֻלְצָה 
 כְּלִי בֶּגֶד 	 חֲלִיפָה 
 כְּלִי בֶּגֶד 	 סְוֶדֶר 
 תַּכְשִׁיט 	 עָגִיל 
 תַּכְשִׁיט 	 אֶבֶן-חֵן אֶבֶן-יְקָרָה אֶבֶן-טוֹבָה אֶבֶן 
 תַּכְשִׁיט 	 מַחְרֹזֶת 
 דּוֹזָה 	 גְּלוּלָה כַּדּוּר טַבְלִית 
 חֲבִילָה 	 אֲגֻדָּה צְרוֹר 
 כַּף 	 כַּפִּית 
 !מוֹלִיךְ 	 חוּט-חַשְׁמַל 
 מַסְנֵן פִילְטֶר 	 מְסַנֶּנֶת מִסְנֶנֶת 
 לַוְיָן 	 רֶכֶב-חָלָל 
 רָהִיט 	 שִׁדָּה 
 רָהִיט 	 מוֹשָׁב 
 מַשְׁחֵזָה 	 מַשְׁחֵז 
 !כְּלִי 	 פּוּמְפִּיָּה 
 !כְּלִי 	 !מַטְחֵנָה 
 כְּלִי כְּלִי-זַיִן כְּלִי-נֶשֶׁק נֶשֶׁק 	 !טִיל 
 כְּלִי כְּלִי-זַיִן כְּלִי-נֶשֶׁק נֶשֶׁק 	 חֲנִית 
 כְּלִי כְּלִי-זַיִן כְּלִי-נֶשֶׁק נֶשֶׁק 	 חֶרֶב 
 חֶדֶר 	 חֶדֶר-אָקוּסְטִי 
 חֶדֶר 	 מְבוֹאָה 
 חֶדֶר 	 אוּלַם-רִקּוּדִים 
 חֶדֶר 	 בָּר 
 חֶדֶר 	 אַמְבַּטְיָה חֲדַר-רַחְצָה חֲדַר-אַמְבַּטְיָה מִקְלַחַת 
 חֶדֶר 	 חֲדַר-שֵׁנָה 
 חֶדֶר 	 מִגְדַּל-פַּעֲמוֹנִים 
 חֶדֶר 	 חֲדַר-קְלָפִים 
 חֶדֶר 	 כִּתָּה 
 חֶדֶר 	 מֶלְתָּחָה גַּרְדֶּרוֹבָּה 
 חֶדֶר 	 מָדוֹר 
